110.677 4  3.061478 0.256255 -0.117237
110.795 4  3.075963 0.193813 -0.081332
110.796 4  3.074008 0.408295 -0.12211
110.935 4  3.080297 0.268506 -0.120241
110.937 4  3.079467 0.489729 -0.093484
110.981 4  3.065159 0.415926 -0.106963
111.029 4  3.084642 0.639181 -0.094971
111.094 4  3.07263 0.772922 -0.084129
111.136 4  3.082901 0.721734 -0.094397
111.180 4  3.083712 0.664106 -0.080855
111.244 4  3.085192 0.607841 -0.081986
111.343 4  3.086613 0.924697 -0.079667
111.347 4  3.08132 1.088514 -0.076839
111.436 4  3.094837 1.049453 -0.064861
111.437 4  3.08142 0.999322 -0.085132
111.481 4  3.085166 0.956101 -0.065183
111.534 4  3.079946 1.247029 -0.093647
111.593 4  3.084528 1.392563 -0.054174
111.684 4  3.084108 1.353115 -0.10353
111.686 4  3.087449 1.303853 -0.055186
111.737 4  3.086062 1.269309 -0.085428
111.788 4  3.088473 1.536613 -0.081026
111.843 4  3.100979 1.676773 -0.066148
111.895 4  3.104403 1.642751 -0.085997
111.926 4  3.100084 1.612085 -0.063474
111.980 4  3.104707 1.584972 -0.076038
112.029 4  3.107762 1.801163 -0.073307
112.086 4  3.107479 1.913957 -0.065118
112.138 4  3.096196 1.894636 -0.059579
112.179 4  3.092348 1.875697 -0.06305
112.258 4  3.108001 1.855058 -0.05431
112.358 4  3.101717 2.037248 -0.05736
112.359 4  3.092983 2.129606 -0.063528
112.445 4  3.09794 2.109352 -0.057725
112.448 4  3.090661 2.086351 -0.065345
112.475 4  3.104054 2.06689 -0.066188
112.523 4  3.090049 2.214473 -0.064205
112.591 4  3.110676 2.302395 -0.076779
112.630 4  3.114451 2.26757 -0.086609
112.678 4  3.103438 2.230966 -0.080384
112.786 4  3.102482 2.194265 -0.102487
112.786 4  3.101702 2.364789 -0.090121
112.896 4  3.096116 2.442323 -0.092249
112.898 4  3.109923 2.401933 -0.109382
112.927 4  3.094134 2.340974 -0.090369
112.975 4  3.092367 2.299625 -0.108545
113.040 4  3.09571 2.456409 -0.100492
113.079 4  3.094068 2.567671 -0.116676
113.177 4  3.091126 2.52217 -0.108198
113.178 4  3.091873 2.474731 -0.11902
113.230 4  3.094577 2.425895 -0.109211
113.304 4  3.096694 2.633688 -0.130253
113.347 4  3.109985 2.587613 -0.112285
113.388 4  3.111343 2.536237 -0.143597
113.420 4  3.098886 2.734319 -0.112903
113.476 4  3.09505 2.678132 -0.146
113.522 4  3.100856 2.861728 -0.133225
113.580 4  3.099751 2.976949 -0.130131
113.633 4  3.089102 2.920664 -0.141899
113.677 4  3.070652 2.872183 -0.132284
113.778 4  3.081954 2.829241 -0.139507
113.779 4  3.099373 3.035415 -0.148253
113.843 4  3.086561 3.159753 -0.132495
113.932 4  3.079767 3.099207 -0.133738
113.933 4  3.07874 3.047496 -0.137888
113.987 4  3.075706 3.003412 -0.135979
114.019 4  3.080333 2.963121 -0.135886
114.086 4  3.081274 3.443189 -0.139752
114.128 4  3.07798 3.3938 -0.13094
